"uniqueID","stream","site_type","date_pesticide_sampling","substance_name","CAS","pesticide_type","concentration_ug_L"
"Hainbach_edge_20190611","Hainbach","edge","20190611","2_4_d",94757,"herbicides",0
"Hainbach_refuge_20190611","Hainbach","refuge","20190611","2_4_d",94757,"herbicides",0
"Hainbach_agriculture_20190410","Hainbach","agriculture","20190410","2_4_d",94757,"herbicides",0
"Hainbach_agriculture_20190429","Hainbach","agriculture","20190429","2_4_d",94757,"herbicides",0
"Hainbach_agriculture_20190520","Hainbach","agriculture","20190520","2_4_d",94757,"herbicides",0
"Hainbach_agriculture_20190611","Hainbach","agriculture","20190611","2_4_d",94757,"herbicides",0
"Hainbach_agriculture_20190701","Hainbach","agriculture","20190701","2_4_d",94757,"herbicides",0
"Kropsbach_edge_20190611","Kropsbach","edge","20190611","2_4_d",94757,"herbicides",0
"Kropsbach_refuge_20190611","Kropsbach","refuge","20190611","2_4_d",94757,"herbicides",0
"Kropsbach_agriculture_20190408","Kropsbach","agriculture","20190408","2_4_d",94757,"herbicides",0
"Kropsbach_agriculture_20190429","Kropsbach","agriculture","20190429","2_4_d",94757,"herbicides",0
"Kropsbach_agriculture_20190521","Kropsbach","agriculture","20190521","2_4_d",94757,"herbicides",0
"Kropsbach_agriculture_20190611","Kropsbach","agriculture","20190611","2_4_d",94757,"herbicides",0
"Kropsbach_agriculture_20190701","Kropsbach","agriculture","20190701","2_4_d",94757,"herbicides",0
"Modenbach_edge_20190611","Modenbach","edge","20190611","2_4_d",94757,"herbicides",0
"Modenbach_agriculture_20190408","Modenbach","agriculture","20190408","2_4_d",94757,"herbicides",0
"Modenbach_agriculture_20190429","Modenbach","agriculture","20190429","2_4_d",94757,"herbicides",0
"Modenbach_agriculture_20190521","Modenbach","agriculture","20190521","2_4_d",94757,"herbicides",0
"Modenbach_agriculture_20190611","Modenbach","agriculture","20190611","2_4_d",94757,"herbicides",0
"Modenbach_agriculture_20190701","Modenbach","agriculture","20190701","2_4_d",94757,"herbicides",0
"Modenbach_refuge_20190410","Modenbach","refuge","20190410","2_4_d",94757,"herbicides",0
"Modenbach_refuge_20190429","Modenbach","refuge","20190429","2_4_d",94757,"herbicides",0
"Modenbach_refuge_20190521","Modenbach","refuge","20190521","2_4_d",94757,"herbicides",0
"Modenbach_refuge_20190611","Modenbach","refuge","20190611","2_4_d",94757,"herbicides",0
"Modenbach_refuge_20190701","Modenbach","refuge","20190701","2_4_d",94757,"herbicides",0
"Otterbach_edge_20190612","Otterbach","edge","20190612","2_4_d",94757,"herbicides",0
"Otterbach_refuge_20190612","Otterbach","refuge","20190612","2_4_d",94757,"herbicides",0
"Otterbach_agriculture_20190410","Otterbach","agriculture","20190410","2_4_d",94757,"herbicides",0
"Otterbach_agriculture_20190429","Otterbach","agriculture","20190429","2_4_d",94757,"herbicides",0
"Otterbach_agriculture_20190520","Otterbach","agriculture","20190520","2_4_d",94757,"herbicides",0.04223
"Otterbach_agriculture_20190612","Otterbach","agriculture","20190612","2_4_d",94757,"herbicides",0.02388
"Otterbach_agriculture_20190703","Otterbach","agriculture","20190703","2_4_d",94757,"herbicides",0
"Russbach_edge_20190612","Russbach","edge","20190612","2_4_d",94757,"herbicides",0
"Russbach_refuge_20190612","Russbach","refuge","20190612","2_4_d",94757,"herbicides",0
"Russbach_agriculture_20190409","Russbach","agriculture","20190409","2_4_d",94757,"herbicides",0
"Russbach_agriculture_20190429","Russbach","agriculture","20190429","2_4_d",94757,"herbicides",0
"Russbach_agriculture_20190520","Russbach","agriculture","20190520","2_4_d",94757,"herbicides",0
