"uniqueID","stream","site_type","date_MI_sampling","identified_taxa","lowest_level_identified","phylum","subphylum","class","order","family","tribe_subfamily","genus","species","number_of_kicks","abundance_absolut"
"Triefenbach_agriculture_04.06.2019","Triefenbach","agriculture","04.06.2019","Hydrachnidia","unranked","Arthropoda",NA,"Arachnida","Trombidiformes",NA,NA,NA,NA,10,0
"Otterbach_agriculture_05.06.2019","Otterbach","agriculture","05.06.2019","Hydrachnidia","unranked","Arthropoda",NA,"Arachnida","Trombidiformes",NA,NA,NA,NA,10,0
"Modenbach_agriculture_03.06.2019","Modenbach","agriculture","03.06.2019","Hydrachnidia","unranked","Arthropoda",NA,"Arachnida","Trombidiformes",NA,NA,NA,NA,10,2
"Modenbach_refuge_03.06.2019","Modenbach","refuge","03.06.2019","Hydrachnidia","unranked","Arthropoda",NA,"Arachnida","Trombidiformes",NA,NA,NA,NA,10,1
"Kropsbach_agriculture_04.06.2019","Kropsbach","agriculture","04.06.2019","Hydrachnidia","unranked","Arthropoda",NA,"Arachnida","Trombidiformes",NA,NA,NA,NA,10,0
"Russbach_agriculture_05.06.2019","Russbach","agriculture","05.06.2019","Hydrachnidia","unranked","Arthropoda",NA,"Arachnida","Trombidiformes",NA,NA,NA,NA,10,0
"Hainbach_agriculture_03.06.2019","Hainbach","agriculture","03.06.2019","Hydrachnidia","unranked","Arthropoda",NA,"Arachnida","Trombidiformes",NA,NA,NA,NA,10,7
"Kropsbach_refuge_04.06.2019","Kropsbach","refuge","04.06.2019","Hydrachnidia","unranked","Arthropoda",NA,"Arachnida","Trombidiformes",NA,NA,NA,NA,5,7
"Kropsbach_edge_04.06.2019","Kropsbach","edge","04.06.2019","Hydrachnidia","unranked","Arthropoda",NA,"Arachnida","Trombidiformes",NA,NA,NA,NA,5,1
"Modenbach_edge_03.06.2019","Modenbach","edge","03.06.2019","Hydrachnidia","unranked","Arthropoda",NA,"Arachnida","Trombidiformes",NA,NA,NA,NA,5,1
"Hainbach_refuge_03.06.2019","Hainbach","refuge","03.06.2019","Hydrachnidia","unranked","Arthropoda",NA,"Arachnida","Trombidiformes",NA,NA,NA,NA,5,1
"Hainbach_edge_03.06.2019","Hainbach","edge","03.06.2019","Hydrachnidia","unranked","Arthropoda",NA,"Arachnida","Trombidiformes",NA,NA,NA,NA,5,1
"Otterbach_refuge_05.06.2019","Otterbach","refuge","05.06.2019","Hydrachnidia","unranked","Arthropoda",NA,"Arachnida","Trombidiformes",NA,NA,NA,NA,5,8
"Otterbach_edge_05.06.2019","Otterbach","edge","05.06.2019","Hydrachnidia","unranked","Arthropoda",NA,"Arachnida","Trombidiformes",NA,NA,NA,NA,5,2
"Triefenbach_refuge_03.06.2019","Triefenbach","refuge","03.06.2019","Hydrachnidia","unranked","Arthropoda",NA,"Arachnida","Trombidiformes",NA,NA,NA,NA,5,0
"Triefenbach_edge_03.06.2019","Triefenbach","edge","03.06.2019","Hydrachnidia","unranked","Arthropoda",NA,"Arachnida","Trombidiformes",NA,NA,NA,NA,5,0
"Russbach_refuge_05.06.2019","Russbach","refuge","05.06.2019","Hydrachnidia","unranked","Arthropoda",NA,"Arachnida","Trombidiformes",NA,NA,NA,NA,5,0
"Russbach_edge_05.06.2019","Russbach","edge","05.06.2019","Hydrachnidia","unranked","Arthropoda",NA,"Arachnida","Trombidiformes",NA,NA,NA,NA,5,38
