"group","family","genus","taxa_link","Rang","sensitivity","generation_time","refuge","exposition"
"Araneae","Araneae","Araneae","Araneae Gen. sp.","group",NA,NA,NA,NA
"Bivalvia","Bivalvia","Bivalvia","Bivalvia Gen. sp.","group",-2.09,1,1,1
"Bivalvia","Cardiidae","Cardiidae","Cardiidae Gen. sp.","family",-2.09,1,1,1
"Bivalvia","Corbiculidae","Corbiculidae","Corbiculidae Gen. sp.","family",-2.09,1,1,1
"Bivalvia","Dreissenidae","Dreissenidae","Dreissenidae Gen. sp.","family",-2.09,1,1,1
"Bivalvia","Margaritiferidae","Margaritiferidae","Margaritiferidae Gen. sp.","family",-2.09,1,1,1
"Bivalvia","Myidae","Myidae","Myidae Gen. sp.","family",-2.09,1,1,1
"Bivalvia","Mytilidae","Mytilidae","Mytilidae Gen. sp.","family",-2.09,1,1,1
"Bivalvia","Sphaeriidae","Sphaeriidae","Sphaeriidae Gen. sp.","family",-2.09,1,1,1
"Bivalvia","Tellinidae","Tellinidae","Tellinidae Gen. sp.","family",-2.09,1,1,1
"Bivalvia","Unionidae","Unionidae","Unionidae Gen. sp.","family",-2.09,1,1,1
"Bivalvia","Veneridae","Verneridae","Veneridae Gen. sp.","family",-2.09,1,1,1
"Branchiobdellida","Branchiobdellida","Branchiobdellida","Branchiobdellida Gen. sp.","group",NA,NA,1,1
"Bryozoa","Bryozoa","Bryozoa","Bryozoa Gen. sp.","group",NA,NA,1,1
"Cestoda","Cestoda","Cestoda","Cestoda Gen. sp.","group",NA,NA,1,1
"Coelenterata","Coelenterata","Coelenterata","Coelenterata Gen. sp.","group",NA,NA,1,1
"Coleoptera","Apionidae","Apionidae","Apionidae Gen. sp.","family",-1.15,1,1,1
"Coleoptera","Chrysomelidae","Chrysomelidae","Chrysomelidae Gen. sp.","family",-1.15,1,1,1
"Coleoptera","Clambidae","Clambidae","Clambidae Gen. sp.","family",-1.15,1,1,1
"Coleoptera","Coleoptera","Coleoptera","Coleoptera Gen. sp.","group",-1.15,1,1,1
"Coleoptera","Curculionidae","Curculionidae","Curculionidae Gen. sp.","family",-1.15,1,1,1
"Coleoptera","Dryopidae","Dryopidae","Dryopidae Gen. sp.","family",-1.15,2,1,0
"Coleoptera","Dytiscidae","Dytiscidae","Dytiscidae Gen. sp.","family",-0.81,1,1,0
"Coleoptera","Dytiscidae","Dytiscidae (incl. Noteridae)","Dytiscidae (incl. Noteridae) Gen. sp.","family",-0.81,1,1,0
"Coleoptera","Elmidae","Elmidae","Elmidae Gen. sp.","family",-1.15,2,1,1
"Coleoptera","Georissidae","Georissidae","Georissidae Gen. sp.","family",-1.15,1,1,1
"Coleoptera","Gyrinidae","Gyrinidae","Gyrinidae Gen. sp.","family",-1.15,1,1,0
"Coleoptera","Haliplidae","Haliplidae","Haliplidae Gen. sp.","family",-1.83,1,1,1
"Coleoptera","Helophoridae","Helophoridae","Helophoridae Gen. sp.","family",-0.89,1,1,1
"Coleoptera","Heteroceridae","Heteroceridae","Heteroceridae Gen. sp.","family",-1.15,1,1,1
"Coleoptera","Hydraenidae","Hydraenidae","Hydraenidae Gen. sp.","family",-1.15,1,1,1
"Coleoptera","Hydrochidae","Hydrochidae","Hydrochidae Gen. sp.","family",-0.89,1,1,1
"Coleoptera","Hydrophilidae","Hydrophilidae","Hydrophilidae Gen. sp.","family",-0.89,1,1,1
"Coleoptera","Hydrophilidae","Hydrophilidae (incl. Hydraenidae)","Hydrophilidae (incl. Hydraenidae) Gen. sp.","family",-0.89,1,1,1
"Coleoptera","Hydroscaphidae","Hydroscaphidae","Hydroscaphidae Gen. sp.","family",-1.15,1,1,1
"Coleoptera","Hygrobiidae","Hygrobiidae","Hygrobiidae Gen. sp.","family",-1.15,1,1,1
"Coleoptera","Limnichidae","Limnichidae","Limnichidae Gen. sp.","family",-1.15,1,1,1
"Coleoptera","Microsporidae","Microsporidae","Microsporidae Gen. sp.","family",-1.15,1,1,1
"Coleoptera","Noteridae","Noteridae","Noteridae Gen. sp.","family",-1.15,1,1,1
"Coleoptera","Psephenidae","Psephenidae","Psephenidae Gen. sp.","family",-1.15,1,1,1
"Coleoptera","Scirtidae","Scirtidae","Scirtidae Gen. sp.","family",-1.15,1,1,1
"Coleoptera","Spercheidae","Spercheidae","Spercheidae Gen. sp.","family",-0.89,1,1,1
"Coleoptera","Sphaeriusidae","Sphaeriusidae","Sphaeriusidae Gen. sp.","family",-1.15,1,1,1
"Collembola","Collembola","Collembola","Collembola Gen. sp.","group",NA,NA,1,1
"Crustacea","Asellidae","Asellidae","Asellidae Gen. sp.","family",-0.46,0.5,1,1
"Crustacea","Crustacea","Crustacea","Crustacea Gen. sp.","group",NA,NA,NA,NA
"Crustacea","Gammaridae","Gammaridae","Gammaridae Gen. sp.","family",0.16,0.58,1,0
"Diptera","Athericidae","Athericidae","Athericidae Gen. sp.","family",-0.35,0.62,1,1
"Diptera","Ceratopogonidae","Ceratopogonidae","Ceratopogonidae Gen. sp.","family",-0.35,0.33,1,1
"Diptera","Chaoboridae","Chaoboridae","Chaoboridae Gen. sp.","family",-0.35,0.5,1,1
"Diptera","Chironomidae","Chironomidae","Chironomidae Gen. sp.","family",-0.39,0.42,1,0
"Diptera","Diptera","Diptera","Diptera Gen. sp.","group",NA,NA,NA,NA
"Diptera","Dixidae","Dixidae","Dixidae Gen. sp.","family",-0.35,0.5,1,1
"Diptera","Dolichopodidae","Dolichopodidae","Dolichopodidae Gen. sp.","family",-0.35,1,1,0
"Diptera","Empididae","Empididae","Empididae Gen. sp.","family",-0.35,0.5,1,0
"Diptera","Limoniidae","Limoniidae","Limoniidae Gen. sp.","family",-0.35,1,1,0
"Diptera","Muscidae","Muscidae","Muscidae Gen. sp.","family",-0.35,0.5,1,0
"Diptera","Psychodidae","Psychodidae","Psychodidae Gen. sp.","family",-0.35,0.25,1,0
"Diptera","Ptychopteridae","Ptychopteridae","Ptychopteridae Gen. sp.","family",-0.35,0.75,1,0
"Diptera","Rhagionidae","Rhagionidae","Rhagionidae Gen. sp.","family",-0.35,0.5,1,0
"Diptera","Simuliidae","Simuliidae","Simuliidae Gen. sp.","family",-0.46,0.38,1,1
"Diptera","Stratiomyiidae","Stratiomyiidae","Stratiomyiidae Gen. sp.","family",-0.35,0.33,1,1
"Diptera","Syrphidae","Syrphidae","Syrphidae Gen. sp.","family",-0.35,0.25,1,1
"Diptera","Tabanidae","Tabanidae","Tabanidae Gen. sp.","family",-0.35,0.75,0,0
"Diptera","Tipulidae","Tipulidae","Tipulidae Gen. sp.","family",-0.35,0.5,1,0
"Entoprocta","Entoprocta","Entoprocta","Entoprocta Gen. sp.","group",NA,NA,1,1
"Ephemeroptera","Ameletidae","Ameletidae","Ameletidae Gen. sp.","family",-0.3,1,1,1
"Ephemeroptera","Ameletidae","Ameletinae","Ameletinae Gen. sp.","genus",-0.3,1,1,1
"Ephemeroptera","Ameletidae","Ameletus","Ameletus inopinatus","species",-0.3,1,1,1
"Ephemeroptera","Ameletidae","Ameletus","Ameletus sp.","genus",-0.3,1,1,1
"Ephemeroptera","Ameletidae","Metreletus","Metreletus balcanicus","species",-0.3,1,1,1
"Ephemeroptera","Ameletidae","Metreletus","Metreletus sp.","genus",-0.3,1,1,1
"Ephemeroptera","Ametropodidae","Ametropodidae","Ametropodidae Gen. sp.","family",-0.3,1,1,1
"Ephemeroptera","Ametropodidae","Ametropus","Ametropus fragilis","species",-0.3,1,1,1
"Ephemeroptera","Ametropodidae","Ametropus","Ametropus sp.","genus",-0.3,1,1,1
"Ephemeroptera","Ametropodidae","Metreplecton","Metreplecton macronyx","species",-0.3,1,1,1
"Ephemeroptera","Ametropodidae","Metreplecton","Metreplecton sp.","genus",-0.3,1,1,1
"Ephemeroptera","Ametropodidae","Metretopus","Metretopus alter","species",-0.3,1,1,1
"Ephemeroptera","Ametropodidae","Metretopus","Metretopus borealis","species",-0.3,1,1,1
"Ephemeroptera","Ametropodidae","Metretopus","Metretopus sp.","genus",-0.3,1,1,1
"Ephemeroptera","Arthropleidae","Arthroplea","Arthroplea congener","species",-0.3,1,1,1
"Ephemeroptera","Arthropleidae","Arthroplea","Arthroplea sp.","genus",-0.3,1,1,1
"Ephemeroptera","Arthropleidae","Arthropleidae","Arthropleidae Gen. sp.","family",-0.3,1,1,1
