"taxa","taxa_link"
"Sericostoma personatum group","Sericostomatidae Gen. sp."
"Rhyacophila dorsalis gr.","Rhyacophila sp."
"Halesus digitatus gr.","Limnephilidae Gen. sp."
"Chaetopteryx villosa group","Limnephilidae Gen. sp."
"Hydrachnidia","Hydrachnidia Gen. sp."
"Adicella sp.","Leptoceridae Gen. sp."
"Adicella reducta","Leptoceridae Gen. sp."
"Ancylus fluviatilis","Planorbidae Gen. sp."
"Aphelocheirus aestivalis","Aphelocheiridae Gen. sp."
"Asellus aquaticus","Asellidae Gen. sp."
"Baetis rhodani","Baetis sp."
"Baetis sp.","Baetis sp."
"Brachycera","Diptera Gen. sp."
"Calopteryx splendens","Calopteryx splendens"
"Calopteryx virgo","Calopteryx virgo"
"Ceratopogonidae Gen. sp.","Ceratopogonidae Gen. sp."
"Chaetopteryx major","Limnephilidae Gen. sp."
"Chelifera sp.","Empididae Gen. sp."
"Chironomidae Gen. sp.","Chironomidae Gen. sp."
"Chironomini","Chironomidae Gen. sp."
"Chrysops sp.","Tabanidae Gen. sp."
"Coelostoma sp.","Hydrophilidae Gen. sp."
"Copelatus sp.","Dytiscidae Gen. sp."
"Cordulegaster boltonii","Cordulegaster boltonii"
"Curculionidae Gen. sp.","Curculionidae Gen. sp."
"Dicranota sp.","Diptera Gen. sp."
"Dixa sp.","Dixidae Gen. sp."
"Dolichopodidae Gen. sp.","Dolichopodidae Gen. sp."
"Dryops sp.","Dryopidae Gen. sp."
"Dryops ernesti","Dryopidae Gen. sp."
"Dugesia gonocephala","Turbellaria Gen. sp."
"Eiseniella tetraedra","Lumbricidae Gen. sp."
"Elmis sp.","Elmidae Gen. sp."
"Elodes sp.","Scirtidae Gen. sp."
"Eloeophila sp.","Limoniidae Gen. sp."
"Ephemera danica","Ephemeridae Gen. sp."
"Ephemerella ignita","Ephemerellidae Gen. sp."
"Ephemerella mucronata","Ephemerellidae Gen. sp."
"Ephemeroptera","Ephemeroptera Gen. sp."
"Erpobdella octoculata","Erpobdellidae Gen. sp."
"Esolus angustatus","Elmidae Gen. sp."
"Galba sp.","Lymnaeidae Gen. sp."
"Galba truncatula","Lymnaeidae Gen. sp."
"Gammarus fossarum","Gammaridae Gen. sp."
"Gammarus pulex","Gammaridae Gen. sp."
"Gammarus roeseli","Gammaridae Gen. sp."
"Glossosomatidae Gen. sp.","Glossosomatidae Gen. sp."
"Goera pilosa","Goera pilosa"
"Halesus radiatus","Limnephilidae Gen. sp."
"Helophorus sp.","Helophoridae Gen. sp."
"Hemerodromia sp.","Empididae Gen. sp."
"Heptagenia sp.","Heptagenia sp."
"Hydraena sp.","Hydraenidae Gen. sp."
"Hydrochus sp.","Hydrochidae Gen. sp."
"Hydropsyche siltalai","Hydropsyche siltalai"
"Hydropsyche bulbifera","Hydropsyche bulbifera"
"Hydropsyche dinarica","Hydropsyche dinarica"
"Hydropsyche sp.","Hydropsyche sp."
"Hydropsyche angustipennis","Hydropsyche angustipennis ssp."
"Lepidostoma basale","Lepidostoma basale"
"Leuctra sp.","Leuctra sp."
"Limnephilidae Gen. sp.","Limnephilidae Gen. sp."
"Limnephilus germanus","Limnephilidae Gen. sp."
"Limnephilus lunatus","Limnephilidae Gen. sp."
"Limnius sp.","Elmidae Gen. sp."
"Limnius volckmari","Elmidae Gen. sp."
"Limoniidae Gen. sp.","Limoniidae Gen. sp."
"Lype reducta","Lype reducta"
"Melampophylax melampus","Limnephilidae Gen. sp."
"Nematoda","Nematoda Gen. sp."
"Nepa cinerea","Nepidae Gen. sp."
"Nemoura sp.","Nemouridae Gen. sp."
"Odontocerum albicorne","Odontocerum albicorne"
"Oligochaeta","Oligochaeta Gen. sp."
"Diptera","Diptera Gen. sp."
"Oulimnius sp.","Elmidae Gen. sp."
"Pelenomus sp.","Curculionidae Gen. sp."
"Perlodes sp.","Perlodes sp."
"Pilaria sp.","Limoniidae Gen. sp."
"Physa fontinalis","Physidae Gen. sp."
"Pisidium sp.","Sphaeriidae Gen. sp."
"Platycnemis pennipes","Platycnemis pennipes"
"Plectrocnemia conspersa","Plectrocnemia conspersa ssp."
"Potamophylax cingulatus","Limnephilidae Gen. sp."
"Potamophylax rotundipennis","Limnephilidae Gen. sp."
"Potamopyrgus antipodarum","Hydrobiidae Gen. sp."
"Prodiamesa olivacea","Chironomidae Gen. sp."
"Prosimulium sp.","Simuliidae Gen. sp."
"Protonemura sp.","Nemouridae Gen. sp."
"Psychodidae Gen. sp.","Psychodidae Gen. sp."
"Ptychoptera sp.","Ptychopteridae Gen. sp."
"Radix sp.","Lymnaeidae Gen. sp."
"Radix ovata","Lymnaeidae Gen. sp."
"Radix peregra","Lymnaeidae Gen. sp."
"Rhithrogena sp.","Rhithrogena sp."
"Rhyacophila fasciata","Rhyacophila fasciata ssp."
"Rhyacophila obliterata","Rhyacophila obliterata"
"Rhyacophila tristis","Rhyacophila tristis"
"Scleroprocta sp.","Limoniidae Gen. sp."
"Silo pallipes","Silo sp."
"Simulium sp.","Simuliidae Gen. sp."
"Hydrophilidae Gen. sp.","Hydrophilidae Gen. sp."
"Tabanidae Gen. sp.","Tabanidae Gen. sp."
"Tanypodinae Gen. sp.","Chironomidae Gen. sp."
"Tanytarsini Gen. sp.","Chironomidae Gen. sp."
"Tinodes rostocki","Tinodes rostocki"
"Tinodes waeneri","Tinodes waeneri ssp."
"Tipula sp.","Tipulidae Gen. sp."
"Tricladida","Turbellaria Gen. sp."
"Plecoptera","Plecoptera Gen. sp."
"Polycelis felina","Turbellaria Gen. sp."
"Plectrocnemia sp.","Plectrocnemia sp."
"Heptageniidae Gen. sp.","Heptageniidae Gen. sp."
"Polycentropodidae Gen. sp.","Polycentropodidae Gen. sp."
"Hirudinea","Hirudinea Gen. sp."
"Goeridae Gen. sp.","Goeridae Gen. sp."
"Nemouridae Gen. sp.","Nemouridae Gen. sp."
"Potamophylax sp.","Limnephilidae Gen. sp."
"Rhyacophila sensu stricto","Rhyacophila s. str. sp."
"Trichoptera","Trichoptera Gen. sp."
"Physa sp.","Physidae Gen. sp."
"Anisus vorticulus","Planorbidae Gen. sp."
"Hydrobiidae Gen. sp.","Hydrobiidae Gen. sp."
"Dytiscidae Gen. sp.","Dytiscidae Gen. sp."
